ic| feature.shape: (20000, 40, 40, 40), target.shape: (20000,)
Epoch: 1/1000, Train Loss: 0.1739, Val Loss: 0.0612 | 16.785 s
Epoch: 2/1000, Train Loss: 0.0558, Val Loss: 0.0527 | 16.721 s
Epoch: 3/1000, Train Loss: 0.0525, Val Loss: 0.0510 | 17.080 s
Epoch: 4/1000, Train Loss: 0.0512, Val Loss: 0.0495 | 16.840 s
Epoch: 5/1000, Train Loss: 0.0505, Val Loss: 0.0558 | 16.846 s
Epoch: 6/1000, Train Loss: 0.0513, Val Loss: 0.0500 | 16.839 s
Epoch: 7/1000, Train Loss: 0.0511, Val Loss: 0.0543 | 16.859 s
Epoch: 8/1000, Train Loss: 0.0499, Val Loss: 0.0494 | 16.873 s
Epoch: 9/1000, Train Loss: 0.0506, Val Loss: 0.0563 | 16.844 s
Epoch: 10/1000, Train Loss: 0.0492, Val Loss: 0.0491 | 16.834 s
Epoch: 11/1000, Train Loss: 0.0494, Val Loss: 0.0502 | 16.914 s
Epoch: 12/1000, Train Loss: 0.0504, Val Loss: 0.0490 | 16.900 s
Epoch: 13/1000, Train Loss: 0.0493, Val Loss: 0.0515 | 16.885 s
Epoch: 14/1000, Train Loss: 0.0492, Val Loss: 0.0529 | 16.914 s
Epoch: 15/1000, Train Loss: 0.0518, Val Loss: 0.0489 | 16.975 s
Epoch: 16/1000, Train Loss: 0.0493, Val Loss: 0.0507 | 16.954 s
Epoch: 17/1000, Train Loss: 0.0495, Val Loss: 0.0488 | 16.957 s
Epoch: 18/1000, Train Loss: 0.0490, Val Loss: 0.0492 | 16.928 s
Epoch: 19/1000, Train Loss: 0.0487, Val Loss: 0.0504 | 16.900 s
Epoch: 20/1000, Train Loss: 0.0489, Val Loss: 0.0498 | 16.964 s
Epoch: 21/1000, Train Loss: 0.0490, Val Loss: 0.0532 | 16.929 s
Epoch: 22/1000, Train Loss: 0.0485, Val Loss: 0.0484 | 16.982 s
Epoch: 23/1000, Train Loss: 0.0486, Val Loss: 0.0493 | 16.978 s
Epoch: 24/1000, Train Loss: 0.0493, Val Loss: 0.0494 | 16.934 s
Epoch: 25/1000, Train Loss: 0.0494, Val Loss: 0.0504 | 16.939 s
Epoch: 26/1000, Train Loss: 0.0494, Val Loss: 0.0489 | 16.944 s
Epoch: 27/1000, Train Loss: 0.0491, Val Loss: 0.0482 | 16.964 s
Epoch: 28/1000, Train Loss: 0.0494, Val Loss: 0.0546 | 16.958 s
Epoch: 29/1000, Train Loss: 0.0494, Val Loss: 0.0489 | 16.985 s
Epoch: 30/1000, Train Loss: 0.0489, Val Loss: 0.0501 | 16.935 s
Epoch: 31/1000, Train Loss: 0.0489, Val Loss: 0.0484 | 16.957 s
Epoch: 32/1000, Train Loss: 0.0495, Val Loss: 0.0483 | 16.974 s
Epoch: 33/1000, Train Loss: 0.0495, Val Loss: 0.0487 | 16.977 s
Epoch: 34/1000, Train Loss: 0.0488, Val Loss: 0.0481 | 16.965 s
Epoch: 35/1000, Train Loss: 0.0488, Val Loss: 0.0491 | 16.929 s
Epoch: 36/1000, Train Loss: 0.0485, Val Loss: 0.0485 | 16.942 s
Epoch: 37/1000, Train Loss: 0.0487, Val Loss: 0.0483 | 16.986 s
Epoch: 38/1000, Train Loss: 0.0484, Val Loss: 0.0503 | 16.952 s
Epoch: 39/1000, Train Loss: 0.0485, Val Loss: 0.0482 | 16.988 s
Epoch: 40/1000, Train Loss: 0.0486, Val Loss: 0.0479 | 16.906 s
Epoch: 41/1000, Train Loss: 0.0486, Val Loss: 0.0489 | 16.941 s
Epoch: 42/1000, Train Loss: 0.0491, Val Loss: 0.0490 | 16.942 s
Epoch: 43/1000, Train Loss: 0.0485, Val Loss: 0.0490 | 16.944 s
